chance_id,asin,titel,preis_eur,seitenzahl,format,veroeffentlicht,bewertung,rezensionen,bsr_roh,url,geprueft_am,fehlende_felder
"C1","3505152919","Spekulatius, der Weihnachtsdrache. Spekulatius auf Klassenfahrt: Ein neues Abenteuer mit dem beliebten Weihnachtsdrachen Spekulatius! | Vorlesespaß für die ganze Familie | SPIEGEL-Bestsellerautor","14","176",,"28. Juli 2026","4.9","9","Amazon Bestseller-Rang: Nr. 1.311 in Bücher (Siehe Top 100 in Bücher) Nr. 2 in Kinderliteratur Monster Nr. 6 in Kinderbücher über Geheimnisse & Wunder Nr. 7 in Fantasy-Belletristik für Kinder über Magie (Bücher) Kundenrezensionen: 4,9 4,9 von 5 Sternen (9) Produktvideos HarperCollins Germany GmbH Sp","https://www.amazon.de/dp/3505152919","2026-08-24T21:43:08.715Z",""
"C1","3505151025","Spekulatius, der Weihnachtsdrache. Spekulatius und das Lebkuchenwunder: Ein Adventsbuch in 24 Kapiteln | Adventskalender Adventsbuch zum Vorlesen mit Plätzchenrezepte vom Weihnachtsdrachen Spekulatius","14","192",,"22. August 2023","4.9","256","Amazon Bestseller-Rang: Nr. 11.048 in Bücher (Siehe Top 100 in Bücher) Nr. 35 in Weihnachten für Kinder Nr. 212 in Literatur über Familie für Kinder Nr. 307 in Visionäre & metaphysische Fantasy-Literatur für Kinder Kundenrezensionen: 4,9 4,9 von 5 Sternen (256) Produktvideos HarperCollins Germany Gm","https://www.amazon.de/dp/3505151025","2026-08-24T21:43:17.634Z",""
"C1","3505142131","Spekulatius, der Weihnachtsdrache: Ein Adventsbuch in 24 Kapiteln | Adventskalender zum Vorlesen, der Klassiker mit dem Weihnachtsdrachen Spekulatius","14","192",,"2. August 2018","4.8","1532","Amazon Bestseller-Rang: Nr. 4.609 in Bücher (Siehe Top 100 in Bücher) Nr. 21 in Kinderbücher über Schule & Bildung Nr. 39 in Geschichten über Drachen, Einhörner & Fabelwesen für Kinder Nr. 79 in Literatur über Familie für Kinder Kundenrezensionen: 4,8 4,8 von 5 Sternen (1.532) Produktvideos HarperCo","https://www.amazon.de/dp/3505142131","2026-08-24T21:43:26.661Z",""
"C1","B0FLVC5MJG","Zeichne dir Weihnachten - dein kreatives Adventskalender-Mitmach-Buch für Kinder: 24 einfache Schritt-für-Schritt-Motive zum Zeichnen lernen – ideale kreative Adventsbegleitung für Kinder ab 6 Jahren","39.95","166",,"29. August 2025","4.4","6","Amazon Bestseller-Rang: Nr. 2.835.611 in Bücher (Siehe Top 100 in Bücher) Nr. 2.065 in Advents- & Weihnachtskalender Nr. 7.810 in Geburtstag Geschenkbücher Nr. 8.094 in Advent & Weihnachten Geschenkbücher Kundenrezensionen: 4,4 4,4 von 5 Sternen (6) Seitenanfang über dieses Produkt Ähnlich Von der M","https://www.amazon.de/dp/B0FLVC5MJG","2026-08-24T21:43:34.752Z",""
"C1","B0HCDVTL97","Kreativer Adventskalender für Mädchen: 24 Tage voller Fantasie, Kunst und Selbstvertrauen – Das Mitmachbuch zum Zeichnen, Schreiben und Entdecken","17.84","78",,"31. Juli 2026","5","19","Amazon Bestseller-Rang: Nr. 335.426 in Bücher (Siehe Top 100 in Bücher) Nr. 837 in Interaktive Abenteuer für Kinder Nr. 1.053 in Weihnachten für Kinder Nr. 3.196 in Malbücher für Kinder Kundenrezensionen: 5,0 5,0 von 5 Sternen (19) Informationen zum Autor Folge Autoren, um Neuigkeiten zu Veröffentli","https://www.amazon.de/dp/B0HCDVTL97","2026-08-24T21:43:42.771Z",""
"C1","3473492329","tiptoi® Mein großer Adventskalender, Adventskalender für Kinder ab 3 Jahren, mit 24 Mini-Büchern","24.99","4",,"1. Juli 2022","4.6","949","Amazon Bestseller-Rang: Nr. 383 in Baby (Siehe Top 100 in Baby) Nr. 1 in Spielzeug-Adventskalender Nr. 90 in Baby- & Kleinkinderzimmer Kundenrezensionen: 4,6 4,6 von 5 Sternen (949) Produktleitfäden und Dokumente Konformitätsbescheinigung (PDF) Produktvideos Amazon Kunde KundenbewertungSchönes Produ","https://www.amazon.de/dp/3473492329","2026-08-24T21:43:51.640Z",""
"C1","3458646620","Little People, BIG DREAMS – Adventskalender: Mein liebster Minibuch-Adventskalender 2026 (Little People, BIG DREAMS (Deutsche Ausgabe))","29.95","32",,"8. September 2026",,,"Amazon Bestseller-Rang: Nr. 2.651 in Bücher (Siehe Top 100 in Bücher) Nr. 2 in Advents- & Weihnachtskalender Nr. 6 in Weihnachten für Kinder Nr. 10 in Gute Wünsche Geschenkbücher Informationen zum Autor Folge Autoren, um Neuigkeiten zu Veröffentlichungen und verbesserte Empfehlungen zu erhalten. Ins","https://www.amazon.de/dp/3458646620","2026-08-24T21:44:00.054Z","bewertung rezensionen"
"C2","3845811889","Hör mal rein, wer kann das sein? – Lieblingstiere: Streicheln und hören | Hochwertiges Pappbilderbuch mit 5 Sounds und Fühlelementen für Kinder ab 6 Monaten","12.99","12",,"3. September 2015","4.7","7454","Amazon Bestseller-Rang: Nr. 94 in Bücher (Siehe Top 100 in Bücher) Nr. 1 in Geburten Allgemeines (Bücher) Nr. 3 in Grundbegriffe für Kinder Nr. 5 in Beschäftigungsbücher für Kinder Kundenrezensionen: 4,7 4,7 von 5 Sternen (7.454) Seitenanfang über dieses Produkt Ähnlich Von der Marke Rezensionen Hör","https://www.amazon.de/dp/3845811889","2026-08-24T21:44:35.715Z",""
"C2","3845820365","Mein großes Buch der Tiergeräusche: Mit 50 Sounds | Hochwertiges Soundbuch mit realistischen Tierstimmen für Kinder ab 2 Jahren (Mein großes Geräuschebuch)","18","16",,"6. März 2017","4.3","9702","Amazon Bestseller-Rang: Nr. 290 in Bücher (Siehe Top 100 in Bücher) Nr. 1 in Blumen & Pflanzen für Kinder Nr. 7 in Kinderbücher über Tiere Nr. 21 in Science Fiction & Fantasy für Kinder (Bücher) Kundenrezensionen: 4,3 4,3 von 5 Sternen (9.702) Seitenanfang über dieses Produkt Ähnlich Von der Marke R","https://www.amazon.de/dp/3845820365","2026-08-24T21:44:44.968Z",""
"C2","3845859032","Such mal, hör mal! Bei den Tieren: Mit 25 Geräuschen | Soundbuch mit Tieren zum Suchen im Wimmelbild mit dazugehörigen Sounds für Kinder ab 18 Monaten","14.99","12",,"30. August 2024","4.6","167","Amazon Bestseller-Rang: Nr. 514 in Bücher (Siehe Top 100 in Bücher) Nr. 3 in Geburten Allgemeines (Bücher) Nr. 5 in Kinderbücher über den Körper Nr. 6 in Kinderbücher über Sinne Kundenrezensionen: 4,6 4,6 von 5 Sternen (167) Seitenanfang über dieses Produkt Ähnlich Von der Marke Rezensionen Such mal","https://www.amazon.de/dp/3845859032","2026-08-24T21:44:54.058Z",""
"C2","B0DK9MLXQJ","Mein weihnachtliches Beschäftigungsbuch: Rätseln, Basteln, Ausmalen und Geschichten für Kinder (3-6 Jahre): 78 Seiten","11.1","79",,"15. Oktober 2024","4.8","10","Amazon Bestseller-Rang: Nr. 135.152 in Bücher (Siehe Top 100 in Bücher) Nr. 176 in Labyrinthe für Kinder Nr. 1.066 in Advent & Weihnachten Geschenkbücher Nr. 1.522 in Malbücher für Kinder Kundenrezensionen: 4,8 4,8 von 5 Sternen (10) Informationen zum Autor Folge Autoren, um Neuigkeiten zu Veröffent","https://www.amazon.de/dp/B0DK9MLXQJ","2026-08-24T21:45:01.947Z",""
"C2","B0G2LCDQFQ","Weihnachtszauber Malbuch für Kinder: 72 Winter- & Weihnachtsmotive mit 9 Toon-Charakteren – Ausmalbuch ab 4 Jahren | Wintermagie: Ski-Sophie, Benny ... und süße Deko-Ideen zum Ausmalen.","13.09","166",,"16. November 2025","5","2","Amazon Bestseller-Rang: Nr. 1.732.611 in Bücher (Siehe Top 100 in Bücher) Nr. 5.197 in Kinderbücher über Malerei Nr. 10.742 in Advent & Weihnachten Geschenkbücher Nr. 15.324 in Malbücher für Kinder Kundenrezensionen: 5,0 5,0 von 5 Sternen (2) Produktvideos -0:00 WSS KundenbewertungBezaubernder Weihn","https://www.amazon.de/dp/B0G2LCDQFQ","2026-08-24T21:45:10.080Z",""
"C2","348024095X","Fröhliche Weihnachten: Kleines Wimmelbuch für Kinder ab 2 Jahren","3.99","16",,"6. Oktober 2025","4.5","132","Amazon Bestseller-Rang: Nr. 29.681 in Bücher (Siehe Top 100 in Bücher) Nr. 239 in Wimmelbücher für Kinder Nr. 2.293 in Grundbegriffe für Kinder Nr. 5.645 in Belletristik für Kinder Kundenrezensionen: 4,5 4,5 von 5 Sternen (132) Informationen zum Autor Folge Autoren, um Neuigkeiten zu Veröffentlichun","https://www.amazon.de/dp/348024095X","2026-08-24T21:45:18.616Z",""
"C2","3480240968","Mein Weihnachts-Wimmelbuch: Mini-Ausgabe","3.99","16",,"6. Oktober 2025","4.6","52","Amazon Bestseller-Rang: Nr. 21.198 in Bücher (Siehe Top 100 in Bücher) Nr. 82 in Weihnachten für Kinder Nr. 208 in Wimmelbücher für Kinder Nr. 4.982 in Belletristik für Kinder Kundenrezensionen: 4,6 4,6 von 5 Sternen (52) Informationen zum Autor Folge Autoren, um Neuigkeiten zu Veröffentlichungen un","https://www.amazon.de/dp/3480240968","2026-08-24T21:45:27.091Z",""
"C4","B0HDQL8QRY","Fabian & Mauzi: Das Geheimnis der Regenbogeninsel","9.62","63",,"10. August 2026","5","1","Amazon Bestseller-Rang: Nr. 540.573 in Bücher (Siehe Top 100 in Bücher) Nr. 1.198 in Interaktive Abenteuer für Kinder Nr. 1.539 in Fantasy-Belletristik für Kinder über Magie (Bücher) Nr. 4.914 in Malbücher für Kinder Kundenrezensionen: 5,0 5,0 von 5 Sternen (1) Seitenanfang über dieses Produkt Vom A","https://www.amazon.de/dp/B0HDQL8QRY","2026-08-24T21:46:01.465Z",""
